place_id_x,place_id_y,road_distance
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJV0AwM30rDogR2sd-X0cgErU,0
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJlUbZ4qMsDogR3tCinMzzKUg,2442
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJ-XW3X2MrDogR3_tQ3-OdBTI,1334
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJu_tp4r4sDogR_dRFCX8wCc8,3407
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJ9Sszh6YsDogRUUo6zu8_TQY,2769
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJA5xPiqYsDogRBBCptdwsGEQ,2990
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJHzRIuaUsDogRP_AJdMSgzjI,2875
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJhU2sZqAsDogRtIzPkFS5qj0,1279
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJtRSxt28rDogRpo4hEqqjIGk,1185
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJh479BaAsDogRWa7hmywCQCQ,2018
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJD9Dsz6UsDogRu-9zC1mr2o8,2784
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJFakjbJcsDogRghZ0HYdk3Io,1938
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJjdRoFFYrDogRz2dolVQVQ0c,3943
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJXWmIuKMsDogRU9zDFF0QQ5M,3032
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJdajrNrAsDogRyBKPsZKlwOs,3462
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJVXvUNKYsDogRQVDQyijJJbk,2549
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJR5oqv5gsDogRKqyLD-s-zHY,1628
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJn5Pz6bwsDogRuKerVeP_zv4,2496
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJn2gRpa4sDogR1WNoXyHTkn0,3313
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJo1w9aLssDogR686u5vc6n3o,3050
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJtWwe37wsDogRVIC0hVYvdMQ,2411
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJr7zdAKwsDogRrMIKO4_-HT0,3473
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJ2WKRwsMsDogRbGtzLAXNAuw,3820
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJA-QLx64sDogRh3IwJOyxFLI,3180
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJTd2xv-gsDogRwsjfQO5V1eE,3809
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJeTZC3aYsDogRuMFhXSacD-Q,2361
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJYYypDqQsDogRJ_itp7Hjk_Y,3084
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJTZHMAqUsDogRqyWVVG5_938,3236
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJ3YXd7X0rDogRvmRQk9Titww,1177
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJKcQCIaQsDogRMVQDi8SU-6Q,2632
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJ85gnvLwsDogRv6ON4Hn4Y2E,2903
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJuY56XeksDogR-POEDSCayqc,3023
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJ333461crDogRZod39RtfW2Y,4010
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJx7nAdbssDogRrpx6SeVf2xQ,3320
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJi37F8KYsDogRC4jkglOf7WQ,2278
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJy0ULzq4sDogRAybixJbiFAI,3756
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJUfD_eJssDogR_TtOYNTGJxU,889
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJlbzt3bosDogR8pGnOJVLrsQ,3457
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJie-jBaMsDogRJrvrH1RmvfY,2553
ChIJV0AwM30rDogR2sd-X0cgErU,ChIJ4apZenwrDogRKJ7BJ0S9vwc,1458
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJV0AwM30rDogR2sd-X0cgErU,2419
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJlUbZ4qMsDogR3tCinMzzKUg,0
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJ-XW3X2MrDogR3_tQ3-OdBTI,3468
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJu_tp4r4sDogR_dRFCX8wCc8,965
