place_id,name,rating,user_ratings_total,lat,lng,opening_time,closing_time,cluster_id,
ChIJA5xPiqYsDogRBBCptdwsGEQ,Millennium Park,4.7,66361,41.8825524,-87.6225514,480,1260,0,311896.7
ChIJlUbZ4qMsDogR3tCinMzzKUg,The Art Institute of Chicago,4.8,25658,41.8795845,-87.6237133,660,1080,0,123158.4
ChIJ-XW3X2MrDogR3_tQ3-OdBTI,Shedd Aquarium,4.6,26502,41.8675726,-87.614038,540,1080,2,121909.2
ChIJu_tp4r4sDogR_dRFCX8wCc8,Skydeck Chicago,4.5,21403,41.8788761,-87.635915,540,1200,0,96313.5
ChIJ9Sszh6YsDogRUUo6zu8_TQY,Cloud Gate,4.7,19809,41.8826572,-87.6233039,360,1380,0,93102.3
ChIJV0AwM30rDogR2sd-X0cgErU,Field Museum,4.7,18171,41.866261,-87.6169805,540,1020,2,85403.7
ChIJhU2sZqAsDogRtIzPkFS5qj0,Grant Park,4.7,18026,41.8721722,-87.6187505,360,1380,0,84722.2
ChIJh479BaAsDogRWa7hmywCQCQ,Buckingham Fountain,4.7,13176,41.8757944,-87.6189483,,,0,61927.2
ChIJHzRIuaUsDogRP_AJdMSgzjI,Chicago Cultural Center,4.7,4927,41.8837536,-87.6249515,600,1020,0,23156.9
ChIJA-QLx64sDogRh3IwJOyxFLI,DuSable Bridge,4.6,4089,41.8888923,-87.6243453,,,0,18809.4
ChIJKcQCIaQsDogRMVQDi8SU-6Q,Crown Fountain,4.7,3498,41.8812563,-87.6237218,360,1380,0,16440.6
ChIJVXvUNKYsDogRQVDQyijJJbk,Jay Pritzker Pavilion,4.8,2367,41.8831825,-87.6219253,,,0,11361.6
ChIJn2gRpa4sDogR1WNoXyHTkn0,The Wrigley Building,4.7,1836,41.889704,-87.6245898,480,1080,0,8629.2
ChIJtRSxt28rDogRpo4hEqqjIGk,Adler Planetarium,4.3,1376,41.866333,-87.6067829,,,2,5916.8
ChIJuY56XeksDogR-POEDSCayqc,New Maxwell Street Market,4.3,679,41.8717212,-87.6440462,,,1,2919.7
ChIJ2WKRwsMsDogRbGtzLAXNAuw,Old St. Patrick's Catholic Church,4.7,454,41.8795139,-87.6445361,,,1,2133.8
ChIJTd2xv-gsDogRwsjfQO5V1eE,Jane Addams Hull-House Museum,4.6,178,41.871626,-87.647437,540,960,1,818.8
ChIJ3YXd7X0rDogRvmRQk9Titww,Burnham Harbor,4.8,42,41.8605999,-87.6125575,600,1080,2,201.6
ChIJ4apZenwrDogRKJ7BJ0S9vwc,Gold Star Families Memorial,4.7,27,41.8624304,-87.6140643,,,2,126.9
